0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.6450138092041016, 0.10160144418478012]","[0.6506138443946838, 0.07982894033193588]","[0.6530400514602661, 0.07917711138725281]","[0.6557660102844238, 0.07842877507209778]","[0.6490998268127441, 0.08155074715614319]","[0.6501926779747009, 0.08183862268924713]","[0.6515117883682251, 0.0817820206284523]","[0.6755002737045288, 0.08526717126369476]","[0.6697378158569336, 0.08713258802890778]","[0.6547011733055115, 0.11913784593343735]","[0.6527320146560669, 0.1202453002333641]","[0.722909688949585, 0.17976774275302887]","[0.6952177882194519, 0.20950035750865936]","[0.7941213846206665, 0.28441163897514343]","[0.7045875191688538, 0.3530616760253906]","[0.7423430681228638, 0.3951762020587921]","[0.6577782034873962, 0.3825843930244446]","[0.7260524034500122, 0.428355872631073]","[0.6411827802658081, 0.3960499167442322]","[0.7174428701400757, 0.4112768769264221]","[0.6409120559692383, 0.3915824592113495]","[0.7204515933990479, 0.40067389607429504]","[0.6467874646186829, 0.3862591087818146]","[0.7264208793640137, 0.49951526522636414]","[0.7318426370620728, 0.49393904209136963]","[0.6433780789375305, 0.6484169363975525]","[0.769025444984436, 0.6837061047554016]","[0.6960182189941406, 0.8104687333106995]","[0.8558648228645325, 0.8337669968605042]","[0.7164610624313354, 0.854235827922821]","[0.8789381980895996, 0.8445960879325867]","[0.6378196477890015, 0.8835981488227844]","[0.8371373414993286, 0.9089560508728027]"
"[0.6415705680847168, 0.08641089498996735]","[0.6473671197891235, 0.06323657184839249]","[0.6498287916183472, 0.06290939450263977]","[0.6525171995162964, 0.06255587190389633]","[0.645602285861969, 0.06444640457630157]","[0.6465703845024109, 0.06477078050374985]","[0.6478024125099182, 0.06476298719644547]","[0.6720572710037231, 0.07050997018814087]","[0.6660094261169434, 0.07113819569349289]","[0.6512570977210999, 0.1054447740316391]","[0.6490728259086609, 0.10657048970460892]","[0.7201946377754211, 0.16753146052360535]","[0.6874159574508667, 0.19235073029994965]","[0.7910510897636414, 0.27098357677459717]","[0.7022174596786499, 0.31088557839393616]","[0.7396500110626221, 0.377024382352829]","[0.652090311050415, 0.35873082280158997]","[0.7240379452705383, 0.4071139395236969]","[0.6378910541534424, 0.3722836673259735]","[0.7151880860328674, 0.39325955510139465]","[0.6373428106307983, 0.3659347593784332]","[0.718298077583313, 0.383648544549942]","[0.6425478458404541, 0.36142221093177795]","[0.7219473123550415, 0.4848663806915283]","[0.7277982234954834, 0.47758546471595764]","[0.6445194482803345, 0.6305102705955505]","[0.7696025371551514, 0.6700071692466736]","[0.656121015548706, 0.8280569314956665]","[0.8681339025497437, 0.783413290977478]","[0.6701427698135376, 0.8787255883216858]","[0.8933068513870239, 0.7816428542137146]","[0.5959066152572632, 0.8683673143386841]","[0.8567337989807129, 0.8869532942771912]"
"[0.6384689211845398, 0.08366094529628754]","[0.643971860408783, 0.06031784415245056]","[0.646680474281311, 0.059700753539800644]","[0.649661660194397, 0.05888446792960167]","[0.6420078873634338, 0.061191897839307785]","[0.6430448293685913, 0.06106395646929741]","[0.6444068551063538, 0.060495905578136444]","[0.6710487604141235, 0.06512459367513657]","[0.664380669593811, 0.06518517434597015]","[0.6491801738739014, 0.10313621908426285]","[0.6467404365539551, 0.1037527322769165]","[0.7183877229690552, 0.1718500405550003]","[0.6853415966033936, 0.17735688388347626]","[0.7892218828201294, 0.27458542585372925]","[0.6998952031135559, 0.29406771063804626]","[0.7351582050323486, 0.3795263469219208]","[0.6500551104545593, 0.35190945863723755]","[0.7207525968551636, 0.40890973806381226]","[0.6360470056533813, 0.3692888617515564]","[0.7146989107131958, 0.39433175325393677]","[0.634601891040802, 0.36204490065574646]","[0.7172737121582031, 0.38602307438850403]","[0.6413331627845764, 0.356228768825531]","[0.7139402627944946, 0.47922012209892273]","[0.7204123735427856, 0.4666477143764496]","[0.6514296531677246, 0.6380146145820618]","[0.7617244720458984, 0.6644748449325562]","[0.6350771188735962, 0.8400571346282959]","[0.8725792765617371, 0.7295456528663635]","[0.6449858546257019, 0.8897789716720581]","[0.8984444737434387, 0.7207314968109131]","[0.5730068683624268, 0.853230357170105]","[0.8749247789382935, 0.8329256772994995]"
"[0.6389956474304199, 0.0861651822924614]","[0.6454452276229858, 0.06395867466926575]","[0.6477906107902527, 0.06345542520284653]","[0.6504165530204773, 0.06288227438926697]","[0.643701434135437, 0.06423483043909073]","[0.6446423530578613, 0.06386835873126984]","[0.6458298563957214, 0.06324230879545212]","[0.6702131628990173, 0.07092797756195068]","[0.6640889644622803, 0.06996460258960724]","[0.648044228553772, 0.10780701041221619]","[0.6457885503768921, 0.10788346081972122]","[0.7115201950073242, 0.17483478784561157]","[0.6811075806617737, 0.18075402081012726]","[0.7839487195014954, 0.28900954127311707]","[0.6937428116798401, 0.3046111762523651]","[0.7259534597396851, 0.38765162229537964]","[0.6522721648216248, 0.3571096956729889]","[0.7050372362136841, 0.41563233733177185]","[0.6401772499084473, 0.37429890036582947]","[0.698746383190155, 0.400411993265152]","[0.6388190388679504, 0.367318332195282]","[0.7015756964683533, 0.3927236795425415]","[0.6440098285675049, 0.3619685769081116]","[0.7073122262954712, 0.48572418093681335]","[0.7142881751060486, 0.47476449608802795]","[0.6527796387672424, 0.6531243324279785]","[0.7571076154708862, 0.6661655902862549]","[0.6335742473602295, 0.8546954393386841]","[0.8639230728149414, 0.695243775844574]","[0.6396657228469849, 0.9004249572753906]","[0.8857391476631165, 0.6758793592453003]","[0.5717021822929382, 0.8595619201660156]","[0.8739639520645142, 0.7916257381439209]"
"[0.6321500539779663, 0.09249661862850189]","[0.6369792819023132, 0.0652422234416008]","[0.6390113830566406, 0.06546320021152496]","[0.6413373351097107, 0.06562098115682602]","[0.6363924145698547, 0.06594253331422806]","[0.6378713846206665, 0.06637070327997208]","[0.6397079825401306, 0.06646597385406494]","[0.6612396240234375, 0.07529233396053314]","[0.658815860748291, 0.07389707118272781]","[0.6418142914772034, 0.11535865068435669]","[0.640299379825592, 0.11634904891252518]","[0.696224570274353, 0.1768612563610077]","[0.6821283102035522, 0.18484310805797577]","[0.7669932246208191, 0.2966117560863495]","[0.6957201957702637, 0.31021350622177124]","[0.706045389175415, 0.4107975363731384]","[0.6511272192001343, 0.3785490393638611]","[0.6880328059196472, 0.444235622882843]","[0.635594367980957, 0.4053606688976288]","[0.6819792985916138, 0.4282832741737366]","[0.6305922865867615, 0.39782023429870605]","[0.685541033744812, 0.4180498719215393]","[0.6391414403915405, 0.3908565938472748]","[0.7000963091850281, 0.49393653869628906]","[0.7076189517974854, 0.48337915539741516]","[0.6562955975532532, 0.6613407731056213]","[0.7385735511779785, 0.6694323420524597]","[0.646106481552124, 0.8688375949859619]","[0.8562556505203247, 0.6656081080436707]","[0.6591709852218628, 0.9079367518424988]","[0.8771833181381226, 0.6393395662307739]","[0.5892545580863953, 0.868032693862915]","[0.8527270555496216, 0.7541799545288086]"
"[0.6271833181381226, 0.11470934748649597]","[0.6323226094245911, 0.08699703961610794]","[0.6342335939407349, 0.08657224476337433]","[0.6364246606826782, 0.08606075495481491]","[0.6315885782241821, 0.08694978803396225]","[0.6328433156013489, 0.08640630543231964]","[0.634437084197998, 0.08549650013446808]","[0.6559176445007324, 0.09204430878162384]","[0.6528032422065735, 0.08886586129665375]","[0.6365798711776733, 0.13453815877437592]","[0.634925127029419, 0.13596370816230774]","[0.6961578130722046, 0.19862836599349976]","[0.6767176389694214, 0.19814395904541016]","[0.7502042055130005, 0.33925914764404297]","[0.6958233714103699, 0.31951195001602173]","[0.6844638586044312, 0.437797874212265]","[0.6529102921485901, 0.39760833978652954]","[0.6669026017189026, 0.4680115878582001]","[0.6367827653884888, 0.42723193764686584]","[0.6601188778877258, 0.44872212409973145]","[0.6321629285812378, 0.41400739550590515]","[0.665819525718689, 0.4406280517578125]","[0.6388323903083801, 0.4046945869922638]","[0.7025337219238281, 0.4979589283466339]","[0.6980860829353333, 0.48735716938972473]","[0.6599859595298767, 0.6737084984779358]","[0.6960247755050659, 0.6601834297180176]","[0.6748990416526794, 0.8689864277839661]","[0.8039730191230774, 0.6456167697906494]","[0.6900475025177002, 0.9028447270393372]","[0.8213890194892883, 0.6169480085372925]","[0.6191255450248718, 0.8805093765258789]","[0.8418410420417786, 0.7328517436981201]"
"[0.6266676783561707, 0.12759292125701904]","[0.6324389576911926, 0.1003381535410881]","[0.6345615983009338, 0.09978923946619034]","[0.6368495225906372, 0.09910890460014343]","[0.63087397813797, 0.09989341348409653]","[0.6318074464797974, 0.09883423149585724]","[0.6329615712165833, 0.09740088880062103]","[0.655243992805481, 0.10508677363395691]","[0.6504172086715698, 0.10150357335805893]","[0.6352444887161255, 0.14678582549095154]","[0.6323930621147156, 0.14771819114685059]","[0.6906874775886536, 0.2153310924768448]","[0.6740700602531433, 0.20878832042217255]","[0.7294736504554749, 0.3720920979976654]","[0.692076563835144, 0.34754282236099243]","[0.6648085713386536, 0.44702938199043274]","[0.6566506028175354, 0.4229249358177185]","[0.6466394066810608, 0.4694356620311737]","[0.63857102394104, 0.44976985454559326]","[0.642956554889679, 0.45442190766334534]","[0.6352349519729614, 0.4405726194381714]","[0.6493779420852661, 0.44727423787117004]","[0.6427870392799377, 0.43008413910865784]","[0.7031313180923462, 0.5000692009925842]","[0.6968888640403748, 0.4881886839866638]","[0.6718581914901733, 0.692590594291687]","[0.6873382329940796, 0.664333164691925]","[0.716873288154602, 0.8659888505935669]","[0.7813909649848938, 0.6662629246711731]","[0.7305415272712708, 0.8971667885780334]","[0.8036748766899109, 0.6550313830375671]","[0.6821529865264893, 0.8926333785057068]","[0.7868630886077881, 0.7560005187988281]"
"[0.6206595301628113, 0.12476964294910431]","[0.6268557906150818, 0.09815753251314163]","[0.628877580165863, 0.0975579246878624]","[0.6311792731285095, 0.09685170650482178]","[0.625992476940155, 0.09796985238790512]","[0.6272184252738953, 0.0970531776547432]","[0.6287400722503662, 0.09572185575962067]","[0.649669349193573, 0.10318658500909805]","[0.6464023590087891, 0.09976024925708771]","[0.6292633414268494, 0.14434348046779633]","[0.6275729537010193, 0.14503736793994904]","[0.6862030625343323, 0.2153477966785431]","[0.6727796792984009, 0.20791827142238617]","[0.7132405042648315, 0.38082030415534973]","[0.6938244104385376, 0.346760630607605]","[0.6422260999679565, 0.4399246275424957]","[0.6550120711326599, 0.42102283239364624]","[0.6254135966300964, 0.46380487084388733]","[0.6325997114181519, 0.45368435978889465]","[0.6234244108200073, 0.45168736577033997]","[0.6313420534133911, 0.44754552841186523]","[0.6299260854721069, 0.44281989336013794]","[0.6416839361190796, 0.4267389476299286]","[0.7054117918014526, 0.5087600946426392]","[0.6922129392623901, 0.48879942297935486]","[0.6957464814186096, 0.7029266953468323]","[0.6446419954299927, 0.65328049659729]","[0.7524267435073853, 0.8634560704231262]","[0.7427666187286377, 0.6802930235862732]","[0.7713741064071655, 0.893398106098175]","[0.7615606188774109, 0.6735873818397522]","[0.7098021507263184, 0.8948723077774048]","[0.7478944063186646, 0.750329315662384]"
"[0.6172013878822327, 0.10863206535577774]","[0.6229866147041321, 0.08453337103128433]","[0.6251745820045471, 0.08421457558870316]","[0.6275445222854614, 0.08378244936466217]","[0.6216664910316467, 0.08439898490905762]","[0.6227599382400513, 0.08385597914457321]","[0.624144434928894, 0.08296971023082733]","[0.6455511450767517, 0.0918402150273323]","[0.642058789730072, 0.08912597596645355]","[0.6259967088699341, 0.13107718527317047]","[0.6242837905883789, 0.13090360164642334]","[0.6752640604972839, 0.20803681015968323]","[0.6754812002182007, 0.19404156506061554]","[0.7044993042945862, 0.3706728518009186]","[0.6989635229110718, 0.31284165382385254]","[0.6449699997901917, 0.40316569805145264]","[0.6999783515930176, 0.3318004012107849]","[0.6299989819526672, 0.4132227301597595]","[0.7020552754402161, 0.3462064564228058]","[0.625941276550293, 0.39905527234077454]","[0.6977920532226562, 0.328519344329834]","[0.6330841779708862, 0.39476343989372253]","[0.6987838745117188, 0.3311541974544525]","[0.7057576775550842, 0.4996073544025421]","[0.6829873323440552, 0.4873625338077545]","[0.7152501344680786, 0.7007169723510742]","[0.6219890117645264, 0.625677764415741]","[0.7908709645271301, 0.8495083451271057]","[0.7009941339492798, 0.6966082453727722]","[0.8118664622306824, 0.8719112873077393]","[0.7155312299728394, 0.6903428435325623]","[0.751808226108551, 0.9071586728096008]","[0.684876024723053, 0.7706260085105896]"
"[0.6113678812980652, 0.09257974475622177]","[0.6155692338943481, 0.06980212777853012]","[0.6173047423362732, 0.06938981264829636]","[0.6193124651908875, 0.06879685074090958]","[0.6152347922325134, 0.06928129494190216]","[0.6165705323219299, 0.06844709068536758]","[0.6182441711425781, 0.06717326492071152]","[0.6373434066772461, 0.07250369340181351]","[0.6360104084014893, 0.06886543333530426]","[0.6195756793022156, 0.11051632463932037]","[0.6187055110931396, 0.10970175266265869]","[0.6648232936859131, 0.18053093552589417]","[0.6790231466293335, 0.16399025917053223]","[0.6902235746383667, 0.3430975675582886]","[0.7249719500541687, 0.26082122325897217]","[0.6309882402420044, 0.36913377046585083]","[0.7082841992378235, 0.3186792731285095]","[0.6151634454727173, 0.3753146827220917]","[0.7087792158126831, 0.3383738398551941]","[0.6144469976425171, 0.35696280002593994]","[0.7034037113189697, 0.3282175064086914]","[0.6209203004837036, 0.3538209795951843]","[0.7031422853469849, 0.3242209851741791]","[0.700955331325531, 0.4834122955799103]","[0.6738736629486084, 0.47827470302581787]","[0.7326813340187073, 0.6947078108787537]","[0.61310875415802, 0.6087360382080078]","[0.8139869570732117, 0.8283998966217041]","[0.6848818063735962, 0.7370330095291138]","[0.8375398516654968, 0.8378888368606567]","[0.7021767497062683, 0.7658491134643555]","[0.7913002371788025, 0.9114026427268982]","[0.6467790603637695, 0.7988805174827576]"
